Package,N,A,Ce,Ca,I,D,post,IPIC ,IIPUD,IIPED,PF ,IPSC ,,Package Name ,SLOC,pkgKLOC
org.apache.camel,69,1.3,17,171,0.090425532,0.390425532,63,0.180952381,0.16,0.75,0.106797047,0.378617258,,org.apache.camel,1534,1.534
org.apache.camel.bam,7,0.4,12,2,0.857142857,0.257142857,0,0.99047619,0.171052632,0.75,1,0.5,,org.apache.camel.bam,356,0.356
org.apache.camel.bam.model,6,0.2,5,3,0.625,0.175,0,0.985714286,0.555555556,1,0.916666667,0.666666667,,org.apache.camel.bam.model,372,0.372
org.apache.camel.bam.processor,6,0.2,10,2,0.833333333,0.033333333,0,0.99047619,0.261538462,0.75,0.5,0.25,,org.apache.camel.bam.processor,439,0.439
org.apache.camel.bam.rules,3,0,10,4,0.714285714,0.285714286,0,0.980952381,0.16875,1,0.583333333,0.5,,org.apache.camel.bam.rules,215,0.215
org.apache.camel.builder,36,0.285714286,27,105,0.204545455,0.50974026,43,0.495238095,0.075892857,0.5,0.085714286,0.710111843,,org.apache.camel.builder,3418,3.418
org.apache.camel.builder.saxon,6,0,12,0,0,1,0,1,0.197916667,0.75,0,0,,org.apache.camel.builder.saxon,200,0.2
org.apache.camel.builder.script,16,0.6,12,0,0,0.4,0,1,0.272727273,0.666666667,0,0,,org.apache.camel.builder.script,581,0.581
org.apache.camel.builder.script.example,6,0,5,0,0,1,0,1,0.5,1,0,0,,org.apache.camel.builder.script.example,102,0.102
org.apache.camel.builder.sql,4,0.333333333,5,0,0,0.666666667,0,1,0.407407407,1,0,0,,org.apache.camel.builder.sql,176,0.176
org.apache.camel.builder.xml,18,0.125,21,8,0.724137931,0.150862069,1,0.961904762,0.153439153,1,0.333333333,0.359375,,org.apache.camel.builder.xml,994,0.994
org.apache.camel.component,2,0,5,8,0.384615385,0.615384615,0,0.961904762,0.666666667,1,0.5,0.453125,,org.apache.camel.component,102,0.102
org.apache.camel.component.amqp,3,0,6,0,0,1,0,1,0.375,0.75,0,0,,org.apache.camel.component.amqp,131,0.131
org.apache.camel.component.atom,17,0.133333333,12,0,0,0.866666667,0,1,0.222222222,0.428571429,0,0,,org.apache.camel.component.atom,483,0.483
org.apache.camel.component.bean,50,0.086956522,23,14,0.621621622,0.291421857,13,0.938095238,0.10130719,0.272727273,0.142857143,0.398562975,,org.apache.camel.component.bean,2603,2.603
org.apache.camel.component.cxf,54,0.08,35,6,0.853658537,0.066341463,0,0.971428571,0.073045267,0.208791209,0.25,0.386574074,,org.apache.camel.component.cxf,3008,3.008
org.apache.camel.component.cxf.converter,1,0,4,0,0,1,0,1,1,1,0,0,,org.apache.camel.component.cxf.converter,42,0.042
org.apache.camel.component.cxf.feature,4,0.333333333,7,1,0.875,0.208333333,0,0.995238095,0.583333333,1,1,0,,org.apache.camel.component.cxf.feature,192,0.192
org.apache.camel.component.cxf.interceptors,12,0.2,9,1,0.9,0.1,0,0.995238095,1,0.75,1,0,,org.apache.camel.component.cxf.interceptors,674,0.674
org.apache.camel.component.cxf.invoker,8,0.333333333,9,1,0.9,0.233333333,0,0.995238095,0.75,0.75,1,0,,org.apache.camel.component.cxf.invoker,395,0.395
org.apache.camel.component.cxf.spring,5,0,10,2,0.833333333,0.166666667,0,0.99047619,0.571428571,0.4375,1,0.5,,org.apache.camel.component.cxf.spring,170,0.17
org.apache.camel.component.cxf.transport,8,0.142857143,14,2,0.875,0.017857143,0,0.995238095,0.171052632,0.75,0.5,1,,org.apache.camel.component.cxf.transport,817,0.817
org.apache.camel.component.cxf.transport.spring,4,0,6,0,0,1,0,1,0.666666667,0.75,0,0,,org.apache.camel.component.cxf.transport.spring,64,0.064
org.apache.camel.component.cxf.util,13,0.083333333,24,1,0.96,0.043333333,0,0.995238095,0.145,0.5,1,0,,org.apache.camel.component.cxf.util,758,0.758
org.apache.camel.component.dataset,11,0.222222222,12,0,0,0.777777778,6,1,0.215686275,0.4,0,0,,org.apache.camel.component.dataset,445,0.445
org.apache.camel.component.direct,5,0,9,0,0,1,2,1,0.3,0.466666667,0,0,,org.apache.camel.component.direct,169,0.169
org.apache.camel.component.event,6,0,9,1,0.9,0.1,0,0.995238095,0.242424242,0.466666667,1,0,,org.apache.camel.component.event,198,0.198
org.apache.camel.component.file,46,0.022222222,22,9,0.709677419,0.268100358,24,0.952380952,0.125714286,0.407407407,0.333333333,0.54,,org.apache.camel.component.file,2426,2.426
org.apache.camel.component.file.remote,52,0.083333333,15,0,0,0.916666667,0,1,0.145299145,0.555555556,0,0,,org.apache.camel.component.file.remote,2970,2.97
org.apache.camel.component.file.strategy,8,0.333333333,8,0,0,0.666666667,4,1,0.333333333,1,0,0,,org.apache.camel.component.file.strategy,330,0.33
org.apache.camel.component.flatpack,17,0,13,0,0,1,0,1,0.164772727,0.4,0,0,,org.apache.camel.component.flatpack,821,0.821
org.apache.camel.component.freemarker,10,0,12,0,0,1,0,1,0.226190476,0.4375,0,0,,org.apache.camel.component.freemarker,325,0.325
org.apache.camel.component.hl7,5,0,7,0,0,1,0,1,0.314285714,1,0,0,,org.apache.camel.component.hl7,460,0.46
org.apache.camel.component.http,26,0.083333333,14,2,0.875,0.041666667,0,0.99047619,0.168831169,0.393939394,0.541666667,0.5,,org.apache.camel.component.http,1302,1.302
org.apache.camel.component.http.helper,1,0,1,1,0.5,0.5,0,0.995238095,1,1,1,0,,org.apache.camel.component.http.helper,20,0.02
org.apache.camel.component.ibatis,7,0,9,0,0,1,0,1,0.272727273,0.6,0,0,,org.apache.camel.component.ibatis,303,0.303
org.apache.camel.component.irc,11,0,9,0,0,1,0,1,0.407407407,0.416666667,0,0,,org.apache.camel.component.irc,881,0.881
org.apache.camel.component.jcr,6,0,12,0,0,1,0,1,0.21875,0.466666667,0,0,,org.apache.camel.component.jcr,251,0.251
org.apache.camel.component.jdbc,7,0,11,0,0,1,0,1,0.196428571,0.625,0,0,,org.apache.camel.component.jdbc,343,0.343
org.apache.camel.component.jetty,23,0,11,0,0,1,0,1,0.169642857,0.625,0,0,,org.apache.camel.component.jetty,1176,1.176
org.apache.camel.component.jhc,15,0.153846154,15,0,0,0.846153846,0,1,0.185714286,0.325,0,0,,org.apache.camel.component.jhc,1218,1.218
org.apache.camel.component.jms,50,0.041666667,23,11,0.676470588,0.281862745,0,0.947619048,0.09,0.555555556,0.290909091,0.679752066,,org.apache.camel.component.jms,4254,4.254
org.apache.camel.component.jms.bind,2,0,5,0,0,1,0,1,0.6,1,0,0,,org.apache.camel.component.jms.bind,49,0.049
org.apache.camel.component.jms.discovery,3,0,6,0,0,1,0,1,0.555555556,1,0,0,,org.apache.camel.component.jms.discovery,81,0.081
org.apache.camel.component.jms.issues,15,0,14,0,0,1,0,1,0.183333333,0.4375,0,0,,org.apache.camel.component.jms.issues,662,0.662
org.apache.camel.component.jms.remoting,2,0,4,0,0,1,0,1,1,0.75,0,0,,org.apache.camel.component.jms.remoting,22,0.022
org.apache.camel.component.jms.requestor,8,0.142857143,9,1,0.9,0.042857143,0,0.995238095,0.357142857,0.75,1,0,,org.apache.camel.component.jms.requestor,678,0.678
org.apache.camel.component.jms.temp,3,0,6,0,0,1,0,1,0.325,1,0,0,,org.apache.camel.component.jms.temp,113,0.113
org.apache.camel.component.jms.tx,11,0.1,10,0,0,0.9,0,1,0.173611111,0.75,0,0,,org.apache.camel.component.jms.tx,387,0.387
org.apache.camel.component.jmx,5,0,6,0,0,1,0,1,1,1,0,0,,org.apache.camel.component.jmx,190,0.19
org.apache.camel.component.jpa,15,0.666666667,10,1,0.909090909,0.575757576,0,0.995238095,0.244444444,0.428571429,1,0,,org.apache.camel.component.jpa,834,0.834
org.apache.camel.component.jt400,7,0,10,0,0,1,0,1,0.318181818,0.444444444,0,0,,org.apache.camel.component.jt400,266,0.266
org.apache.camel.component.ldap,5,0.25,12,0,0,0.75,0,1,0.215686275,0.625,0,0,,org.apache.camel.component.ldap,272,0.272
org.apache.camel.component.list,3,0,10,1,0.909090909,0.090909091,0,0.995238095,0.261538462,0.666666667,1,0,,org.apache.camel.component.list,113,0.113
org.apache.camel.component.log,4,0,10,0,0,1,1,1,0.176470588,0.75,0,0,,org.apache.camel.component.log,254,0.254
org.apache.camel.component.mail,30,0,13,0,0,1,0,1,0.173469388,0.571428571,0,0,,org.apache.camel.component.mail,2054,2.054
org.apache.camel.component.mail.security,2,0,7,0,0,1,0,1,1,1,0,0,,org.apache.camel.component.mail.security,80,0.08
org.apache.camel.component.mina,47,0,17,0,0,1,0,1,0.158653846,0.34375,0,0,,org.apache.camel.component.mina,2327,2.327
org.apache.camel.component.mock,4,0.333333333,10,87,0.103092784,0.563573883,4,0.585714286,0.206349206,0.666666667,0.402298851,0.911018629,,org.apache.camel.component.mock,687,0.687
org.apache.camel.component.pojo,3,0.5,6,0,0,0.5,0,1,0.375,1,0,0,,org.apache.camel.component.pojo,48,0.048
org.apache.camel.component.quartz,10,0,10,0,0,1,0,1,0.19047619,0.583333333,0,0,,org.apache.camel.component.quartz,493,0.493
org.apache.camel.component.ref,1,0,5,0,0,1,0,1,0.666666667,1,0,0,,org.apache.camel.component.ref,18,0.018
org.apache.camel.component.restlet,14,0.076923077,15,0,0,0.923076923,0,1,0.215686275,0.34375,0,0,,org.apache.camel.component.restlet,751,0.751
org.apache.camel.component.restlet.converter,1,0,2,0,0,1,0,1,1,1,0,0,,org.apache.camel.component.restlet.converter,15,0.015
org.apache.camel.component.restlet.route,1,0,3,0,0,1,0,1,1,1,0,0,,org.apache.camel.component.restlet.route,18,0.018
org.apache.camel.component.rmi,8,0.142857143,13,0,0,0.857142857,0,1,0.2875,0.444444444,0,0,,org.apache.camel.component.rmi,307,0.307
org.apache.camel.component.seda,10,0,10,1,0.909090909,0.090909091,2,0.995238095,0.185714286,0.571428571,1,0,,org.apache.camel.component.seda,342,0.342
org.apache.camel.component.spring.integration,14,0,8,2,0.8,0.2,0,0.99047619,0.210526316,0.571428571,0.5,0.25,,org.apache.camel.component.spring.integration,510,0.51
org.apache.camel.component.spring.integration.adapter,6,0.2,10,1,0.909090909,0.109090909,0,1,0.230769231,0.75,1,0,,org.apache.camel.component.spring.integration.adapter,288,0.288
org.apache.camel.component.spring.integration.adapter.config,4,0,5,0,0,1,0,1,0.666666667,1,0,0,,org.apache.camel.component.spring.integration.adapter.config,111,0.111
org.apache.camel.component.spring.integration.converter,1,0,3,0,0,1,0,1,0.6,1,0,0,,org.apache.camel.component.spring.integration.converter,38,0.038
org.apache.camel.component.sql,6,0,9,0,0,1,0,1,0.226190476,0.625,0,0,,org.apache.camel.component.sql,371,0.371
org.apache.camel.component.stream,11,0,8,0,0,1,0,1,0.388888889,0.583333333,0,0,,org.apache.camel.component.stream,437,0.437
org.apache.camel.component.stringtemplate,5,0,11,0,0,1,0,1,0.230769231,0.555555556,0,0,,org.apache.camel.component.stringtemplate,157,0.157
org.apache.camel.component.swing,2,0,6,0,0,1,0,1,0.4,1,0,0,,org.apache.camel.component.swing,44,0.044
org.apache.camel.component.test,3,0,8,0,0,1,0,1,0.388888889,0.555555556,0,0,,org.apache.camel.component.test,100,0.1
org.apache.camel.component.timer,6,0,9,0,0,1,0,1,0.272727273,0.625,0,0,,org.apache.camel.component.timer,269,0.269
org.apache.camel.component.uface,5,0,11,1,0.916666667,0.083333333,0,0.995238095,0.228571429,0.555555556,1,0,,org.apache.camel.component.uface,186,0.186
org.apache.camel.component.uface.swing,3,0,8,0,0,1,0,1,0.666666667,0.666666667,0,0,,org.apache.camel.component.uface.swing,55,0.055
org.apache.camel.component.validator,3,0,11,2,0.846153846,0.153846154,0,0.99047619,0.5,0.555555556,0.666666667,0.5,,org.apache.camel.component.validator,82,0.082
org.apache.camel.component.validator.jing,5,0,13,0,0,1,0,1,0.357142857,0.75,0,0,,org.apache.camel.component.validator.jing,159,0.159
org.apache.camel.component.validator.msv,2,0,5,0,0,1,0,1,0.75,1,0,0,,org.apache.camel.component.validator.msv,32,0.032
org.apache.camel.component.velocity,9,0,11,0,0,1,0,1,0.272727273,0.4375,0,0,,org.apache.camel.component.velocity,305,0.305
org.apache.camel.component.vm,2,0,9,0,0,1,0,1,0.314285714,0.75,0,0,,org.apache.camel.component.vm,85,0.085
org.apache.camel.component.xmpp,12,0,12,0,0,1,0,1,0.178571429,0.416666667,0,0,,org.apache.camel.component.xmpp,765,0.765
org.apache.camel.component.xquery,13,0.181818182,22,1,0.956521739,0.138339921,0,0.995238095,0.149758454,0.4375,1,0,,org.apache.camel.component.xquery,649,0.649
org.apache.camel.component.xslt,6,0,13,0,0,1,0,1,0.183333333,0.555555556,0,0,,org.apache.camel.component.xslt,148,0.148
org.apache.camel.converter,15,0.071428571,16,21,0.432432432,0.496138996,4,0.9,0.25,1,0.297619048,0.48185941,,org.apache.camel.converter,942,0.942
org.apache.camel.converter.jaxb,12,0.090909091,15,1,0.9375,0.028409091,0,0.995238095,0.230769231,1,1,0,,org.apache.camel.converter.jaxb,611,0.611
org.apache.camel.converter.jaxp,6,0,16,13,0.551724138,0.448275862,4,0.938095238,0.5,1,0.384615385,0.547337278,,org.apache.camel.converter.jaxp,674,0.674
org.apache.camel.converter.stream,3,0.5,9,5,0.642857143,0.142857143,4,0.980952381,0.466666667,1,1,1,,org.apache.camel.converter.stream,116,0.116
org.apache.camel.converter.xmlbeans,5,0,15,0,0,1,0,1,0.220779221,1,0,0,,org.apache.camel.converter.xmlbeans,156,0.156
org.apache.camel.dataformat.csv,2,0,8,0,0,1,0,1,0.314285714,1,0,0,,org.apache.camel.dataformat.csv,138,0.138
org.apache.camel.dataformat.hl7,3,0,8,0,0,1,0,1,0.28,1,0,0,,org.apache.camel.dataformat.hl7,136,0.136
org.apache.camel.dataformat.supercsv,2,0,9,0,0,1,0,1,0.314285714,1,0,0,,org.apache.camel.dataformat.supercsv,120,0.12
org.apache.camel.dataformat.tagsoup,5,0,15,1,0.9375,0.0625,0,0.995238095,0.3,1,1,0,,org.apache.camel.dataformat.tagsoup,297,0.297
org.apache.camel.dataformat.xstream,9,0.125,10,0,0,0.875,0,1,0.236111111,1,0,0,,org.apache.camel.dataformat.xstream,341,0.341
org.apache.camel.example,8,0,12,0,0,1,0,1,0.259259259,0.555555556,0,0,,org.apache.camel.example,201,0.201
org.apache.camel.example.axis,4,0,9,0,0,1,0,1,0.666666667,0.555555556,0,0,,org.apache.camel.example.axis,127,0.127
org.apache.camel.example.bam,2,0,7,0,0,1,0,1,0.285714286,1,0,0,,org.apache.camel.example.bam,30,0.03
org.apache.camel.example.camel.transport,4,0,8,0,0,1,0,1,1,1,0,0,,org.apache.camel.example.camel.transport,156,0.156
org.apache.camel.example.client,3,0,4,0,0,1,0,1,0.55,1,0,0,,org.apache.camel.example.client,63,0.063
org.apache.camel.example.cxf,4,0,10,0,0,1,0,1,0.4,1,0,0,,org.apache.camel.example.cxf,173,0.173
org.apache.camel.example.cxf.provider,5,0,9,0,0,1,0,1,1,1,0,0,,org.apache.camel.example.cxf.provider,154,0.154
org.apache.camel.example.docs,4,0,6,0,0,1,0,1,0.5,0.75,0,0,,org.apache.camel.example.docs,33,0.033
org.apache.camel.example.etl,5,0,8,0,0,1,0,1,0.4375,1,0,0,,org.apache.camel.example.etl,175,0.175
org.apache.camel.example.guice.jms,4,0,8,0,0,1,0,1,0.4375,0.555555556,0,0,,org.apache.camel.example.guice.jms,53,0.053
org.apache.camel.example.jms,1,0,1,1,0.5,0.5,0,0.995238095,1,1,1,0,,org.apache.camel.example.jms,71,0.071
org.apache.camel.example.jmstofile,1,0,4,0,0,1,0,1,0.466666667,1,0,0,,org.apache.camel.example.jmstofile,36,0.036
org.apache.camel.example.osgi,1,0,3,0,0,1,0,1,1,1,0,0,,org.apache.camel.example.osgi,29,0.029
org.apache.camel.example.server,4,0.333333333,5,1,0.833333333,0.166666667,0,0.995238095,0.6,1,1,0,,org.apache.camel.example.server,42,0.042
org.apache.camel.example.spring,2,0,6,0,0,1,0,1,0.555555556,0.75,0,0,,org.apache.camel.example.spring,29,0.029
org.apache.camel.examples,2,0,2,1,0.666666667,0.333333333,0,0.995238095,1,1,1,0,,org.apache.camel.examples,83,0.083
