Package,IIPUD,IIPED,IPIC,PF,IPSC,post,Package.Name,N,A,Ce,Ca,I,D,pkgLOC,pkgKLOC
com.sun.jdi,1,1,0.967213115,0,0.071428571,0,com.sun.jdi,63,2.705882353,5,20,0.2,1.905882353,562,0.562
com.sun.jdi.connect,1,1,0.995316159,0,0.5,1,com.sun.jdi.connect,7,2.5,4,5,0.444444444,1.944444444,98,0.098
com.sun.jdi.event,1,1,1,0,1,0,com.sun.jdi.event,20,0,4,6,0.4,0.6,116,0.116
com.sun.jdi.request,1,1,0.99765808,0,1,1,com.sun.jdi.request,18,8,3,9,0.25,7.25,175,0.175
org.apache.lucene.demo.html,1,1,0.99765808,0,1,0,org.apache.lucene.demo.html,9,0.125,3,1,0.75,0.125,2908,2.908
org.eclipse.ant.core,0.278846154,0.75,0.976580796,0,0.1,6,org.eclipse.ant.core,9,0,10,10,0.5,0.5,1184,1.184
org.eclipse.ant.internal.core,1,1,0.992974239,0,0.333333333,2,org.eclipse.ant.internal.core,4,1,4,3,0.571428571,0.571428571,128,0.128
org.eclipse.ant.internal.core.ant,0.37254902,1,1,0,1,3,org.eclipse.ant.internal.core.ant,6,0,11,0,0,1,738,0.738
org.eclipse.compare,0.072420635,0.5,0.974238876,0.090909091,0.090909091,2,org.eclipse.compare,20,1.222222222,25,10,0.714285714,0.936507937,2097,2.097
org.eclipse.compare.contentmergeviewer,0.056179775,1,0.995316159,0.5,0.5,1,org.eclipse.compare.contentmergeviewer,6,2,28,4,0.875,1.875,3728,3.728
org.eclipse.compare.internal,0.041523236,0.169230769,0.983606557,0.071428571,0.095238095,7,org.eclipse.compare.internal,54,0.227272727,35,7,0.833333333,0.060606061,4745,4.745
org.eclipse.compare.internal.patch,0.056064073,1,1,0,1,1,org.eclipse.compare.internal.patch,10,0,29,0,0,1,2194,2.194
org.eclipse.compare.rangedifferencer,0.75,1,0.995316159,0,0.5,0,org.eclipse.compare.rangedifferencer,5,0.25,4,2,0.666666667,0.083333333,417,0.417
org.eclipse.compare.structuremergeviewer,0.102430556,1,0.976580796,0.05,0.1,0,org.eclipse.compare.structuremergeviewer,13,1.6,16,10,0.615384615,1.215384615,1363,1.363
org.eclipse.core.boot,1,1,0.920374707,0,0.029411765,0,org.eclipse.core.boot,3,2,4,32,0.111111111,1.111111111,184,0.184
org.eclipse.core.internal.boot,1,1,0.983606557,0.142857143,0.142857143,2,org.eclipse.core.internal.boot,16,0.142857143,8,7,0.533333333,0.323809524,4501,4.501
org.eclipse.core.internal.dtree,0.625,1,0.995316159,0,0.5,0,org.eclipse.core.internal.dtree,17,0.307692308,4,2,0.666666667,0.025641026,1944,1.944
org.eclipse.core.internal.events,0.157142857,0.75,0.992974239,0.333333333,0.333333333,1,org.eclipse.core.internal.events,17,0.133333333,10,4,0.714285714,0.152380952,2180,2.18
org.eclipse.core.internal.indexing,1,1,0.995316159,0,0.25,0,org.eclipse.core.internal.indexing,39,0.3,4,2,0.666666667,0.033333333,3599,3.599
org.eclipse.core.internal.localstore,0.18128655,1,0.99765808,0,1,2,org.eclipse.core.internal.localstore,22,0.222222222,9,1,0.9,0.122222222,2826,2.826
org.eclipse.core.internal.plugins,0.21509434,0.388888889,0.985948478,0,0.166666667,5,org.eclipse.core.internal.plugins,20,0.111111111,13,6,0.684210526,0.204678363,5761,5.761
org.eclipse.core.internal.properties,0.195402299,1,0.995316159,0,0.5,0,org.eclipse.core.internal.properties,9,0.125,9,2,0.818181818,0.056818182,827,0.827
org.eclipse.core.internal.resources,0.12,0.625,0.988290398,0.05,0.2,3,org.eclipse.core.internal.resources,70,0.129032258,18,5,0.782608696,0.088359046,12008,12.008
org.eclipse.core.internal.runtime,0.215686275,1,0.981264637,0,0.125,1,org.eclipse.core.internal.runtime,20,0,11,8,0.578947368,0.421052632,2522,2.522
org.eclipse.core.internal.utils,0.571428571,1,0.981264637,0,0.125,0,org.eclipse.core.internal.utils,12,0.090909091,9,8,0.529411765,0.379679144,943,0.943
org.eclipse.core.internal.watson,0.375,1,0.995316159,0,0.5,0,org.eclipse.core.internal.watson,17,0.7,6,3,0.666666667,0.366666667,1096,1.096
org.eclipse.core.launcher,0,1,1,0,1,0,org.eclipse.core.launcher,2,0,7,0,0,1,1023,1.023
org.eclipse.core.resources,0.393939394,1,0.709601874,0.008064516,0.008064516,1,org.eclipse.core.resources,36,17,8,164,0.046511628,16.04651163,706,0.706
org.eclipse.core.resources.ant,0.384615385,1,1,0,1,0,org.eclipse.core.resources.ant,4,0,8,0,0,1,217,0.217
org.eclipse.core.resources.team,1,1,0.995316159,0.5,0.5,0,org.eclipse.core.resources.team,3,0,3,5,0.375,0.625,102,0.102
org.eclipse.core.runtime,0.393939394,1,0.327868852,0.003484321,0.003484321,0,org.eclipse.core.runtime,31,1.818181818,9,242,0.035856574,0.854038392,2089,2.089
