Package,N,A,Ce,Ca,I,D,X,post,IPIC ,IIPUD,IIPED,PGF ,PSC ,pkgLOC,pkgKLOC
org.apache.poi,3,0.5,8,2,0.8,0.3,1,0,0.964912281,0.261538462,1,1,0.5,139,0.139
org.apache.poi.contrib.metrics,1,0,4,0,0,1,2,0,1,1,1,0,0,58,0.058
org.apache.poi.contrib.poibrowser,9,0,9,0,0,1,3,0,1,0.380952381,1,0,0,605,0.605
org.apache.poi.ddf,47,0.093023256,8,7,0.533333333,0.373643411,4,42,0.877192982,0.625,1,0.405714286,0.536171669,5242,5.242
org.apache.poi.dev,1,0,7,0,0,1,5,0,1,1,1,0,0,91,0.091
org.apache.poi.generator,2,0,2,1,0.666666667,0.333333333,6,0,0.98245614,1,1,1,0,280,0.28
org.apache.poi.hdf.event,3,2,6,1,0.857142857,1.857142857,7,0,0.98245614,0.2875,1,1,0,386,0.386
org.apache.poi.hdf.extractor,15,0,7,2,0.777777778,0.222222222,8,0,0.964912281,0.303571429,1,0.75,0.375,3412,3.412
org.apache.poi.hdf.extractor.data,6,0,3,1,0.75,0.25,9,0,0.98245614,1,1,1,0,221,0.221
org.apache.poi.hdf.extractor.util,6,0,2,1,0.666666667,0.333333333,10,0,0.98245614,1,1,1,0,599,0.599
org.apache.poi.hdf.generator,2,0,2,0,0,1,11,0,1,1,1,0,0,157,0.157
org.apache.poi.hdf.model,4,0,10,0,0,1,12,0,1,0.201388889,1,0,0,543,0.543
org.apache.poi.hdf.model.hdftypes,26,0.083333333,5,5,0.5,0.416666667,13,0,0.912280702,0.428571429,1,0.3,0.285576923,2017,2.017
org.apache.poi.hdf.model.hdftypes.definitions,7,0,3,3,0.5,0.5,14,0,0.947368421,0.6,1,0.444444444,0.462962963,7701,7.701
org.apache.poi.hdf.model.util,3,0,3,2,0.6,0.4,15,0,0.964912281,1,1,0.666666667,0.375,693,0.693
org.apache.poi.hpsf,33,0.1,7,6,0.538461538,0.361538462,16,8,0.894736842,0.428571429,1,0.364197531,0.485817166,3497,3.497
org.apache.poi.hpsf.basic,10,0,11,0,0,1,17,0,1,0.22,1,0,0,2343,2.343
org.apache.poi.hpsf.examples,6,0,8,0,0,1,18,0,1,0.233333333,1,0,0,708,0.708
org.apache.poi.hpsf.wellknown,2,0,3,3,0.5,0.5,19,1,0.947368421,1,1,1,0.666666667,196,0.196
org.apache.poi.hslf,6,0,10,6,0.625,0.375,20,0,0.894736842,0.242105263,0.75,1,0.833333333,470,0.47
org.apache.poi.hslf.blip,8,0.333333333,9,2,0.818181818,0.151515152,21,0,0.964912281,0.666666667,1,0.5,0.25,377,0.377
org.apache.poi.hslf.dev,10,0,10,0,0,1,22,0,1,0.167346939,1,0,0,914,0.914
org.apache.poi.hslf.exceptions,3,0,1,3,0.25,0.75,23,0,0.947368421,1,1,0.666666667,0.611111111,21,0.021
org.apache.poi.hslf.extractor,5,0,10,0,0,1,24,0,1,0.210526316,1,0,0,374,0.374
org.apache.poi.hslf.model,29,0.115384615,21,4,0.84,0.044615385,25,0,0.929824561,0.141826923,1,0.4375,0.379464286,3283,3.283
org.apache.poi.hslf.model.textproperties,5,0,5,4,0.555555556,0.444444444,26,0,0.929824561,0.666666667,1,0.8,0.725,219,0.219
org.apache.poi.hslf.record,72,0.107692308,15,6,0.714285714,0.178021978,27,0,0.894736842,0.138047138,1,0.404040404,0.419796018,4930,4.93
org.apache.poi.hslf.usermodel,14,0.076923077,14,6,0.7,0.223076923,28,0,0.894736842,0.143617021,1,0.555555556,0.666666667,1827,1.827
org.apache.poi.hslf.util,3,0,6,1,0.857142857,0.142857143,29,0,0.98245614,1,1,1,0,94,0.094
org.apache.poi.hssf,1,0,8,0,0,1,30,0,1,0.152380952,1,0,0,197,0.197
org.apache.poi.hssf.contrib.view,9,0,13,0,0,1,31,0,1,0.5625,1,0,0,1266,1.266
org.apache.poi.hssf.dev,4,0,11,0,0,1,32,4,1,0.130912162,1,0,0,936,0.936
org.apache.poi.hssf.eventmodel,8,0.333333333,9,2,0.818181818,0.151515152,33,2,0.98245614,0.258152174,1,0.5,1,678,0.678
org.apache.poi.hssf.eventusermodel,5,0.666666667,5,2,0.714285714,0.380952381,34,5,0.964912281,0.583333333,1,0.833333333,0.5,196,0.196
org.apache.poi.hssf.model,21,0.105263158,13,6,0.684210526,0.210526316,35,40,0.912280702,0.148115688,1,0.25,0.706666667,5351,5.351
org.apache.poi.hssf.record,216,0.028571429,11,10,0.523809524,0.447619048,36,227,0.842105263,0.180555556,1,0.254166667,0.428343572,21268,21.268
org.apache.poi.hssf.record.aggregates,8,0,5,3,0.625,0.375,37,14,0.964912281,1,0.75,0.444444444,0.875,1259,1.259
org.apache.poi.hssf.record.formula,68,0.0625,9,6,0.6,0.3375,38,19,0.912280702,0.238095238,1,0.347953216,0.576533333,4230,4.23
org.apache.poi.hssf.record.formula.eval,38,0.407407407,7,2,0.777777778,0.185185185,39,0,0.964912281,0.252380952,1,0.651515152,0.428571429,1896,1.896
org.apache.poi.hssf.record.formula.functions,296,0.031358885,4,1,0.8,0.168641115,40,0,0.98245614,1,1,1,0,5788,5.788
org.apache.poi.hssf.usermodel,64,0.066666667,25,11,0.694444444,0.238888889,41,88,0.824561404,0.104591837,1,0.198863636,0.724238095,11639,11.639
org.apache.poi.hssf.usermodel.contrib,2,0,4,0,0,1,42,0,1,0.571428571,1,0,0,226,0.226
org.apache.poi.hssf.usermodel.examples,22,0,9,0,0,1,43,0,1,0.224242424,1,0,0,1101,1.101
org.apache.poi.hssf.util,13,0,4,10,0.285714286,0.714285714,44,4,0.842105263,1,1,0.207692308,0.434156379,1991,1.991
org.apache.poi.hwpf,7,0.166666667,11,4,0.733333333,0.1,45,0,0.929824561,0.186507937,0.75,0.5,0.666666667,717,0.717
org.apache.poi.hwpf.extractor,3,0,8,0,0,1,46,0,1,0.375,1,0,0,202,0.202
org.apache.poi.hwpf.model,51,0.0625,12,3,0.8,0.1375,47,0,0.947368421,0.175824176,0.666666667,0.450980392,0.550956185,4152,4.152
org.apache.poi.hwpf.model.io,2,0,3,2,0.6,0.4,48,0,0.964912281,1,1,1,0.5,45,0.045
org.apache.poi.hwpf.model.types,7,0,4,4,0.5,0.5,49,0,0.929824561,0.4,1,0.5,0.375,4271,4.271
org.apache.poi.hwpf.sprm,13,0,5,2,0.714285714,0.285714286,50,0,0.964912281,0.368421053,1,0.55,0.291666667,2330,2.33
org.apache.poi.hwpf.usermodel,23,0,12,5,0.705882353,0.294117647,51,0,0.912280702,0.223529412,0.583333333,0.375,0.356,2863,2.863
org.apache.poi.poifs.common,1,0,0,4,0,1,52,0,0.929824561,1,1,1,0.75,8,0.008
org.apache.poi.poifs.dev,3,0.5,4,2,0.666666667,0.166666667,53,0,0.964912281,1,1,1,0.5,139,0.139
org.apache.poi.poifs.eventfilesystem,6,0.2,6,4,0.6,0.2,54,1,0.929824561,0.388888889,1,0.75,0.59375,445,0.445
org.apache.poi.poifs.filesystem,28,0.272727273,10,24,0.294117647,0.43315508,55,5,0.578947368,0.201388889,1,0.2875,0.529456019,2956,2.956
org.apache.poi.poifs.property,15,0.363636364,9,3,0.75,0.113636364,56,5,0.947368421,0.215686275,1,0.666666667,0.537037037,6114,6.114
org.apache.poi.poifs.storage,35,0.166666667,7,3,0.7,0.133333333,57,18,0.947368421,0.303571429,1,0.5625,0.508730159,6927,6.927
org.apache.poi.util,49,0.065217391,7,31,0.184210526,0.750572082,58,17,0.456140351,0.666666667,1,0.166383701,0.441164056,9566,9.566
