Package,post,N,A,Ce,Ca,I,D,IIPUD,IIPED,IPIC,PGF,PSC,pkgLOC,pkgKLOC
com.sun.jdi,0,64,2.555555556,7,21,0.25,1.805555556,1,1,0.976708075,0,0.066666667,582,0.582
com.sun.jdi.connect,0,8,1.666666667,4,5,0.444444444,1.111111111,1,1,0.99689441,0,0.5,107,0.107
com.sun.jdi.connect.spi,0,3,2,2,2,0.5,1.5,1,1,0.99689441,0,0.5,38,0.038
com.sun.jdi.event,0,20,0,4,6,0.4,0.6,1,1,1,0,1,116,0.116
com.sun.jdi.request,0,18,8,3,9,0.25,7.25,1,1,0.998447205,0,1,177,0.177
org.apache.lucene.demo.html,1,10,0.111111111,3,1,0.75,0.138888889,0,1,0.998447205,0,1,3345,3.345
org.eclipse.ant.core,4,11,0.222222222,11,13,0.458333333,0.319444444,0.226666667,0.75,0.979813665,0,0.076923077,1635,1.635
org.eclipse.ant.internal.core,0,6,0.5,7,6,0.538461538,0.038461538,0.428571429,1,0.99068323,0,0.166666667,219,0.219
org.eclipse.ant.internal.core.ant,3,8,0,12,0,0,1,0.2875,1,1,0,1,1671,1.671
org.eclipse.ant.internal.ui.antsupport,2,7,0,6,2,0.75,0.25,1,1,0.99689441,0,0.5,1120,1.12
org.eclipse.ant.internal.ui.antsupport.inputhandler,0,1,0,4,0,0,1,0.75,1,1,0,1,43,0.043
org.eclipse.ant.internal.ui.antsupport.logger,3,4,0,15,0,0,1,0.147368421,1,1,0,1,548,0.548
org.eclipse.ant.internal.ui.console,2,4,0,14,0,0,1,0.115384615,1,1,0,1,318,0.318
org.eclipse.ant.internal.ui.datatransfer,10,4,0,25,0,0,1,0.067592593,1,1,0,1,542,0.542
org.eclipse.ant.internal.ui.dtd,0,9,2,7,2,0.777777778,1.777777778,1,1,0.99689441,0,0.5,180,0.18
org.eclipse.ant.internal.ui.dtd.schema,0,11,0,7,1,0.875,0.125,0.538461538,1,0.998447205,0,1,1089,1.089
org.eclipse.ant.internal.ui.dtd.util,0,10,0.666666667,4,1,0.8,0.466666667,0,1,0.998447205,0,1,538,0.538
org.eclipse.ant.internal.ui.editor,18,10,0.111111111,43,4,0.914893617,0.026004728,0.038373162,0.4,0.99378882,0.25,0.25,2663,2.663
org.eclipse.ant.internal.ui.editor.derived,1,6,0.5,10,1,0.909090909,0.409090909,0.25,1,0.998447205,0,1,611,0.611
org.eclipse.ant.internal.ui.editor.formatter,3,6,0,15,3,0.833333333,0.166666667,0.111111111,1,0.995341615,0,0.333333333,995,0.995
org.eclipse.ant.internal.ui.editor.model,3,9,0.125,16,7,0.695652174,0.179347826,0.140909091,1,0.989130435,0,0.142857143,728,0.728
org.eclipse.ant.internal.ui.editor.outline,13,18,0.2,32,8,0.8,0,0.049773756,0.4375,0.98757764,0,0.125,2055,2.055
org.eclipse.ant.internal.ui.editor.templates,2,11,0,23,3,0.884615385,0.115384615,0.070175439,0.357142857,0.995341615,0,0.333333333,336,0.336
org.eclipse.ant.internal.ui.editor.text,10,25,0.19047619,29,6,0.828571429,0.019047619,0.053150685,0.228571429,0.992236025,0,0.2,1399,1.399
org.eclipse.ant.internal.ui.editor.tools,1,1,0,9,0,0,1,1,1,1,0,1,184,0.184
org.eclipse.ant.internal.ui.editor.utils,5,2,0,8,1,0.888888889,0.111111111,1,1,0.998447205,0,1,422,0.422
org.eclipse.ant.internal.ui.launchConfigurations,8,34,0.03030303,49,7,0.875,0.09469697,0.027874117,0.179487179,0.989130435,0,0.142857143,3764,3.764
org.eclipse.ant.internal.ui.model,3,10,0.428571429,29,16,0.644444444,0.073015873,0.061191626,0.75,0.97515528,0,0.0625,848,0.848
org.eclipse.ant.internal.ui.preferences,5,38,0.1875,43,8,0.843137255,0.030637255,0.032764029,0.270833333,0.98757764,0,0.09375,5484,5.484
org.eclipse.ant.internal.ui.views,2,6,0,21,2,0.913043478,0.086956522,0.06377709,0.75,0.99689441,0,0.5,763,0.763
org.eclipse.ant.internal.ui.views.actions,2,11,0,36,2,0.947368421,0.052631579,0.044991511,0.5,0.99689441,0,0.5,997,0.997
org.eclipse.ant.internal.ui.views.elements,1,5,0.25,6,2,0.75,0,0.375,1,0.99689441,0,0.5,282,0.282
org.eclipse.compare,2,23,1.555555556,26,14,0.65,1.205555556,0.067434211,0.5,0.976708075,0.066666667,0.066666667,2254,2.254
org.eclipse.compare.contentmergeviewer,2,5,4,30,6,0.833333333,3.833333333,0.054225696,1,0.995341615,0.333333333,0.333333333,3840,3.84
org.eclipse.compare.internal,0,56,0.217391304,36,9,0.8,0.017391304,0.040162272,0.169230769,0.986024845,0.066666667,0.111111111,5114,5.114
org.eclipse.compare.internal.merge,0,3,0,6,0,0,1,0.416666667,1,1,0,1,109,0.109
org.eclipse.compare.internal.patch,0,10,0,28,0,0,1,0.058181818,0.666666667,1,0,1,2211,2.211
org.eclipse.compare.rangedifferencer,0,5,0.25,4,4,0.5,0.25,0.75,1,0.99378882,0,0.25,415,0.415
org.eclipse.compare.structuremergeviewer,0,13,1.6,16,12,0.571428571,1.171428571,0.102040816,1,0.982919255,0,0.090909091,1367,1.367
org.eclipse.core.boot,0,3,2,8,12,0.4,1.4,0.314285714,1,0.98447205,0,0.1,180,0.18
org.eclipse.core.expressions,1,10,1.5,5,11,0.3125,0.8125,0.5625,1,0.979813665,0.025641026,0.076923077,275,0.275
org.eclipse.core.filebuffers,0,11,10,7,16,0.304347826,9.304347826,0.407407407,1,0.97826087,0,0.071428571,142,0.142
org.eclipse.core.internal.boot,0,7,0.166666667,9,6,0.6,0.233333333,0.416666667,1,0.99068323,0.166666667,0.166666667,680,0.68
org.eclipse.core.internal.compatibility,1,1,0,7,0,0,1,0.226190476,1,1,0,1,58,0.058
org.eclipse.core.internal.content,2,11,0,13,3,0.8125,0.1875,0.195402299,1,0.995341615,0,0.333333333,1479,1.479
org.eclipse.core.internal.dependencies,0,16,0.230769231,3,1,0.75,0.019230769,0,1,0.998447205,0,1,1084,1.084
org.eclipse.core.internal.dtree,0,17,0.307692308,4,2,0.666666667,0.025641026,0.625,1,0.99689441,0,0.5,1892,1.892
org.eclipse.core.internal.events,4,18,0.125,13,3,0.8125,0.0625,0.112328767,0.555555556,0.995341615,0.333333333,0.333333333,2411,2.411
org.eclipse.core.internal.expressions,1,27,0.038461538,7,1,0.875,0.086538462,0.361111111,0.625,0.998447205,0,1,1258,1.258
org.eclipse.core.internal.filebuffers,0,11,0.375,10,2,0.833333333,0.208333333,0.184782609,1,0.99689441,0,0.5,1627,1.627
org.eclipse.core.internal.indexing,0,39,0.3,4,2,0.666666667,0.033333333,1,1,0.99689441,0,0.25,3622,3.622
org.eclipse.core.internal.jobs,3,17,0.0625,7,4,0.636363636,0.301136364,0.362318841,0.75,0.99378882,0,0.25,2754,2.754
org.eclipse.core.internal.localstore,1,22,0.222222222,9,1,0.9,0.122222222,0.181547619,1,0.998447205,0,1,2938,2.938
org.eclipse.core.internal.model,0,5,0.25,11,2,0.846153846,0.096153846,0.28,1,0.99689441,0,0.5,1928,1.928
org.eclipse.core.internal.plugins,1,10,0,14,4,0.777777778,0.222222222,0.144444444,1,0.99378882,0,0.25,739,0.739
org.eclipse.core.internal.preferences,12,11,0.1,10,6,0.625,0.275,0.184782609,1,0.99068323,0,0.166666667,2385,2.385
org.eclipse.core.internal.properties,0,9,0.125,9,2,0.818181818,0.056818182,0.195402299,1,0.99689441,0,0.5,863,0.863
org.eclipse.core.internal.refresh,1,5,0,10,3,0.769230769,0.230769231,0.189189189,0.75,0.995341615,0,0.333333333,540,0.54
org.eclipse.core.internal.registry,6,18,0.125,14,1,0.933333333,0.058333333,0.226666667,1,0.998447205,0,1,2494,2.494
org.eclipse.core.internal.resources,9,77,0.132352941,26,7,0.787878788,0.079768271,0.070444915,0.375,0.989130435,0.028571429,0.142857143,13075,13.075
org.eclipse.core.internal.resources.refresh.win32,0,4,0,10,0,0,1,0.212962963,0.75,1,0,1,514,0.514
org.eclipse.core.internal.runtime,5,26,0,30,17,0.638297872,0.361702128,0.057340895,0.75,0.973602484,0,0.058823529,2924,2.924
org.eclipse.core.internal.utils,2,13,0,9,9,0.5,0.5,0.55,1,0.986024845,0,0.111111111,1355,1.355
org.eclipse.core.internal.variables,1,7,0.166666667,12,1,0.923076923,0.08974359,0.523809524,1,0.998447205,0,1,748,0.748
org.eclipse.core.internal.watson,0,17,0.7,6,3,0.666666667,0.366666667,0.375,1,0.99689441,0,0.5,1082,1.082
org.eclipse.core.launcher,0,2,0,7,0,0,1,1,1,1,0,1,1265,1.265
org.eclipse.core.resources,5,40,12.33333333,12,188,0.06,11.39333333,0.253333333,1,0.76242236,0.006535948,0.006535948,746,0.746
org.eclipse.core.resources.ant,1,4,0,8,0,0,1,0.380952381,1,1,0,1,223,0.223
org.eclipse.core.resources.refresh,0,3,0,2,2,0.5,0.5,1,1,0.99689441,0.5,0.5,20,0.02
org.eclipse.core.resources.team,1,4,3,6,5,0.545454545,2.545454545,0.416666667,1,0.995341615,0.333333333,0.333333333,118,0.118
org.eclipse.core.runtime,6,42,2.818181818,14,347,0.038781163,1.856962982,0.176470588,1,0.346273292,0.002375297,0.002375297,2185,2.185
org.eclipse.core.runtime.adaptor,15,24,0.142857143,36,2,0.947368421,0.090225564,0.056231884,1,0.99689441,0,0.5,3957,3.957
org.eclipse.core.runtime.adaptor.testsupport,0,3,0,5,0,0,1,0.5,0.75,1,0,1,31,0.031
org.eclipse.core.runtime.content,0,7,2.5,8,15,0.347826087,1.847826087,0.4,1,1,0,1,196,0.196
