Package,N,A,Ce,Ca,I,D,post,IPIC ,IIPUD,IIPED,PGF,PSC ,pkgLOC,pkgKLOC
org.apache.poi.contrib.metrics,1,0,4,0,0,1,0,1,1,1,0,0,58,0.058
org.apache.poi.contrib.poibrowser,9,0,9,0,0,1,0,1,0.377777778,1,0,0,580,0.58
org.apache.poi.ddf,45,0.097560976,8,3,0.727272727,0.175166297,6,0.918918919,0.625,1,0.492063492,0.407239819,4923,4.923
org.apache.poi.dev,1,0,4,0,0,1,1,1,1,1,0,0,65,0.065
org.apache.poi.generator,2,0,2,1,0.666666667,0.333333333,0,0.972972973,1,1,1,0,285,0.285
org.apache.poi.hdf.event,3,2,6,1,0.857142857,1.857142857,0,0.972972973,0.2875,1,1,0,386,0.386
org.apache.poi.hdf.extractor,15,0,7,2,0.777777778,0.222222222,0,0.945945946,0.303571429,1,0.75,0.375,3417,3.417
org.apache.poi.hdf.extractor.data,6,0,3,1,0.75,0.25,0,0.972972973,1,1,1,0,221,0.221
org.apache.poi.hdf.extractor.util,6,0,2,1,0.666666667,0.333333333,0,0.972972973,1,1,1,0,599,0.599
org.apache.poi.hdf.generator,2,0,2,0,0,1,0,1,1,1,0,0,123,0.123
org.apache.poi.hdf.model,4,0,10,0,0,1,0,1,0.201388889,1,0,0,543,0.543
org.apache.poi.hdf.model.hdftypes,26,0.083333333,5,4,0.555555556,0.361111111,0,0.891891892,0.428571429,1,0.363636364,0.258713942,2017,2.017
org.apache.poi.hdf.model.hdftypes.definitions,7,0,3,3,0.5,0.5,0,0.918918919,0.625,1,0.444444444,0.462962963,7398,7.398
org.apache.poi.hdf.model.util,3,0,3,2,0.6,0.4,0,0.945945946,1,1,0.666666667,0.375,693,0.693
org.apache.poi.hpsf,19,0.055555556,5,4,0.555555556,0.388888889,23,0.891891892,0.6,1,0.5,0.520138889,1127,1.127
org.apache.poi.hpsf.basic,6,0,7,0,0,1,0,1,0.384615385,1,0,0,501,0.501
org.apache.poi.hpsf.examples,2,0,4,0,0,1,0,1,0.75,1,0,0,112,0.112
org.apache.poi.hpsf.wellknown,2,0,3,1,0.75,0.25,2,0.972972973,1,1,1,0,180,0.18
org.apache.poi.hssf,1,0,7,0,0,1,0,1,0.179487179,1,0,0,147,0.147
org.apache.poi.hssf.contrib.view,9,0,13,0,0,1,0,1,0.571428571,1,0,0,1266,1.266
org.apache.poi.hssf.dev,6,0,11,0,0,1,8,1,0.130993151,1,0,0,1135,1.135
org.apache.poi.hssf.eventmodel,8,0.333333333,10,1,0.909090909,0.242424242,5,0.972972973,0.209195402,1,1,0,708,0.708
org.apache.poi.hssf.eventusermodel,5,0.666666667,6,2,0.75,0.416666667,2,0.945945946,0.444444444,1,1,0.5,217,0.217
org.apache.poi.hssf.model,16,0.142857143,12,6,0.666666667,0.19047619,26,0.864864865,0.148423006,1,0.277777778,0.710666667,4492,4.492
org.apache.poi.hssf.record,205,0.030150754,11,10,0.523809524,0.446039722,302,0.756756757,0.186507937,1,0.249180328,0.404334349,21225,21.225
org.apache.poi.hssf.record.aggregates,6,0,5,3,0.625,0.375,15,0.945945946,1,0.75,0.466666667,0.916666667,413,0.413
org.apache.poi.hssf.record.formula,39,0.114285714,6,5,0.545454545,0.34025974,57,0.891891892,0.318181818,1,0.242424242,0.677827381,3024,3.024
org.apache.poi.hssf.usermodel,54,0.08,22,9,0.709677419,0.210322581,40,0.783783784,0.118518519,1,0.277777778,0.747767857,9402,9.402
org.apache.poi.hssf.usermodel.contrib,2,0,4,0,0,1,0,1,0.571428571,1,0,0,227,0.227
org.apache.poi.hssf.usermodel.examples,19,0,9,0,0,1,0,1,0.225806452,1,0,0,781,0.781
org.apache.poi.hssf.util,12,0,4,9,0.307692308,0.692307692,4,0.783783784,1,1,0.212962963,0.48046875,1929,1.929
org.apache.poi.poifs.common,1,0,0,2,0,1,0,0.945945946,1,1,1,0.5,8,0.008
org.apache.poi.poifs.dev,3,0.5,4,2,0.666666667,0.166666667,0,0.945945946,1,1,1,0.5,139,0.139
org.apache.poi.poifs.eventfilesystem,6,0.2,6,4,0.6,0.2,0,0.891891892,0.388888889,1,0.75,0.59375,445,0.445
org.apache.poi.poifs.filesystem,24,0.333333333,9,14,0.391304348,0.275362319,0,0.621621622,0.201388889,1,0.238095238,0.408163265,2735,2.735
org.apache.poi.poifs.property,15,0.363636364,9,3,0.75,0.113636364,1,0.918918919,0.215686275,1,0.666666667,0.537037037,6093,6.093
org.apache.poi.poifs.storage,35,0.166666667,7,3,0.7,0.133333333,2,0.918918919,0.307692308,1,0.5625,0.508730159,6919,6.919
org.apache.poi.util,36,0.090909091,7,18,0.28,0.629090909,2,0.513513514,0.666666667,1,0.181481481,0.468176808,8618,8.618
